Abstract,Article Classification
"Antibiotics are increasingly used and released into the marine environment due to the rapid development of mariculture, resulting in spread of antibiotic resistance. The pollution, distribution, and characteristics of antibiotics, antibiotic resistance genes (ARGs) and microbiomes have been investigated in this study. Results showed that 20 antibiotics were detected in Chinese coastal environment, with predominance of erythromycin-H<sub>2</sub>O, enrofloxacin and oxytetracycline. In coastal mariculture sites, antibiotic concentrations were significantly higher than in control sites, and more types of antibiotics were detected in the South than in the North of China. Residues of enrofloxacin, ciprofloxacin and sulfadiazine posed high resistance selection risks. β-Lactam, multi-drug and tetracycline resistance genes were frequently detected with significantly higher abundance in the mariculture sites. Of the 262 detected ARGs, 10, 26, and 19 were ranked as high-risk, current-risk, future-risk, respectively. The main bacterial phyla were Proteobacteria and Bacteroidetes, of which 25 genera were zoonotic pathogens, with Arcobacter and Vibrio in particular ranking in the top10. Opportunistic pathogens were more widely distributed in the northern mariculture sites. Phyla of Proteobacteria and Bacteroidetes were the potential hosts of high-risk ARGs, while the conditional pathogens were associated with future-risk ARGs, indicating a potential threat to human health.",0
"The strategies to relieve antibiotic resistance genes (ARGs) pollution are urgently needed. Fermentation broth from fruit and vegetable waste (FFVW), an agricultural amendment, exhibits a remarkable capacity to reduce ARG pollution; however, the underlying mechanism of this effect remains unclear. We performed microcosm experiments to reappear the phenomenon of FFVW-driven reduction in ARGs. Moderate-level FFVW reduced gene resistance to sulfonamide (41.2 %), macrolide-lincosamide-streptogramin (MLS) (47.2 %), chloramphenicol (63.2 %), and tetracycline (61.4 %). Binning and network analyses revealed that Actinobacteria comprise the primary hosts of ARGs in arable soil, and FFVW substantially inhibited the growth and metabolic activity of these organisms. Moreover, tetracycline and MLS production was partially/completely inhibited by FFVW, further reducing the transfer frequency by 52.9-86.1 % and 46.6-66.6 % in the intragenic and intergenic mating systems, respectively. Furthermore, the expression of genes related to conjugation pairing and plasmid transfer was downregulated. Thus, FFVW effectively reduces ARG pollution by inhibiting Actinobacteria proliferation, thereby reducing selective pressure and restricting horizontal gene transfer. Our findings highlight the important underlying mechanisms of FFVW involved in ARG reduction, supporting its use in arable soil.",0
"The aim of this study was to present the first nation-wide, systematic, repeated assessment of doctor-shopping (i.e. visiting multiple physicians to be prescribed the same drug) during 10 years for more than 200 psychoactive prescription drugs in the 67 million inhabitants in France.",0
"Colorectal carcinogenesis coincides with immune cell dysfunction. Metformin has been reported to play a role in stimulating antitumor immunity, suggesting it could be used to overcome immunosuppression in colorectal cancer. Herein, using single-cell RNA sequencing (scRNA-seq), we showed that metformin remodels the immune landscape of colorectal cancer. In particular, metformin treatment expanded the proportion of CD8+ T cells and potentiated their function. Analysis of the metabolic activities of cells in the colorectal cancer tumor microenvironment (TME) at a single-cell resolution demonstrated that metformin reprogrammed tryptophan metabolism, which was reduced in colorectal cancer cells and increased in CD8+ T cells. Untreated colorectal cancer cells outcompeted CD8+ T cells for tryptophan, leading to impaired CD8+ T-cell function. Metformin in turn reduced tryptophan uptake by colorectal cancer cells, thereby restoring tryptophan availability for CD8+ T cells and increasing their cytotoxicity. Metformin inhibited tryptophan uptake in colorectal cancer cells by downregulating MYC, which led to a reduction in the tryptophan transporter SLC7A5. This work highlights metformin as an essential regulator of T-cell antitumor immunity by reprogramming tryptophan metabolism, suggesting it could be a potential immunotherapeutic strategy for treating colorectal cancer.",0
"Recent studies have demonstrated that ovarian granular cells (OGCs) pyroptosis is present in the ovaries of polycystic ovary syndrome (PCOS) mice and that NLRP3 activation destroys follicular functions. Metformin has been shown to protect against PCOS by reducing insulin resistance in women, whereas its role in OGC pyroptosis is unknown. This study aimed to investigate the impact of metformin on OGC pyroptosis and the underlying mechanisms. The results showed that treating a human granulosa-like tumor cell line (KGN) with metformin significantly decreased LPS-induced expression of miR-670-3p, NOX2, NLRP3, ASC, cleaved caspase-1, and GSDMD-N. Cellular caspase-1 activity; ROS production; oxidative stress; and the secretion of IL-1β, IL-6, IL-18, and TNF-α were also diminished. These effects were amplified by adding N-acetyl-L-cysteine (NAC), a pharmacological inhibitor of ROS. In contrast, metformin's anti-pyroptosis and anti-inflammatory effects were robustly ameliorated by NOX2 overexpression in KGN cells. Moreover, bioinformatic analyses, RT-PCR, and Western blotting showed that miR-670-3p could directly bind to the NOX2 (encoded by the CYBB gene in humans) 3'UTR and decrease NOX2 expression. Metformin-induced suppression of NOX2 expression, ROS production, oxidative stress, and pyroptosis was significantly alleviated by transfection with the miR-670-3p inhibitor. These findings suggest that metformin inhibits KGN cell pyroptosis via the miR-670-3p/NOX2/ROS pathway.",0
"Combining biomacromolecules with green chemistry principles and clean technologies has proven to be an effective approach for drug delivery, providing a prolonged and sustained release of the encapsulated material. The current study investigates the potential of cholinium caffeate (Ch[Caffeate]), a phenolic-based biocompatible ionic liquid (Bio-IL) entrapped in alginate/acemannan beads, as a drug delivery system able to reduce local joint inflammation on osteoarthritis (OA) treatment. The synthesized Bio-IL has antioxidant and anti-inflammatory actions that, combined with biopolymers as 3D architectures, promote the entrapment and sustainable release of the bioactive molecules over time. The physicochemical and morphological characterization of the beads (ALC, ALAC0,5, ALAC1, and ALAC3, containing 0, 0.5, 1, and 3 %(w/v) of Ch[Caffeate], respectively) revealed a porous and interconnected structure, with medium pore sizes ranging from 209.16 to 221.30 μm, with a high swelling ability (up 2400 %). Ch[Caffeate] significantly improved the antioxidant activities of the constructs by 95 % and 97 % for ALAC1 and ALAC3, respectively, when compared to ALA (56 %). Besides, the structures provided the environment for ATDC5 cell proliferation, and cartilage-like ECM formation, supported by the increased GAGs in ALAC1 and ALAC3 formulations after 21 days. Further, the ability to block the secretion of pro-inflammatory cytokines (TNF-α and IL-6), from differentiated THP-1 was evidenced by ChAL-Ch[Caffeate] beads. These outcomes suggest that the established strategy based on using natural and bioactive macromolecules to develop 3D constructs has great potential to be used as therapeutic tools for patients with OA.",0
"Reactive oxygen species (ROS) are an integral part of many anticancer therapies. Fenton-like processes involving reactions of peroxides with transition metal ions are a particularly potent and tunable subset of ROS approaches. Precise on-demand dosing of the Fenton reaction is an area of great interest. Herein, we present a concept of an electrochemical faradaic pixel that produces controlled amounts of ROS via a Fenton-like process. The pixel comprises a cathode and anode, where the cathode reduces dissolved oxygen to hydrogen peroxide. The anode is made of chromium, which is electrochemically corroded to yield chromium ions. Peroxide and chromium interact to form a highly oxidizing mixture of hydroxyl radicals and hexavalent Cr ions. After benchmarking the electrochemical properties of this type of device, we demonstrate how it can be used under in vitro conditions with a cancer cell line. The faradaic Fenton pixel is a general and scalable concept that can be used for on-demand delivery of redox-active products for controlling a physiological outcome.",0
"Classical homocystinuria (HCU) is caused by cystathionine β-synthase deficiency leading to impaired homocysteine transsulfuration and accumulation of homocysteine and methionine. Patients present with a wide spectrum of manifestations including ocular, skeletal, neuropsychiatric, and vascular manifestations. We report a 48-year-old female with pyridoxine-unresponsive HCU treated with betaine, cyanocobalamin, and folate. Her diet was non-restricted due to intolerance of low-methionine diet. She was admitted to hospital following a fall, with multiple fractures and subsequently developed acute liver failure with encephalopathy. Shock, sepsis, and liver ischaemia/thrombosis were excluded. In the context of glutathione depletion expected in HCU, hepatic dysfunction was presumed to be due to iatrogenic paracetamol toxicity, despite paracetamol intake at conventional therapeutic dose, with role of hypermethioninemia as a contributing factor being uncertain. Betaine was discontinued on hospital admission. <i>N</i>-Acetylcysteine (NAC) infusion was initiated. Plasma total homocysteine (tHcy) was 3.4 μmol/L 9 days following initiation of NAC treatment with a markedly elevated plasma methionine of 1278 μmol/L. tHcy concentration returned to pre-admission baseline after NAC was discontinued. Recovery following this episode was slow with a prolonged cholestatic phase and gradual improvement in jaundice and coagulopathy. We recommend that paracetamol should be administered cautiously in HCU patients due to underlying glutathione depletion and risk of toxicity even at therapeutic doses. NAC is clearly effective in lowering tHcy in classical HCU in the short-term however further research is required to assess clinical efficacy and use as a potential therapy in classical HCU.",1
"Fluorescent bovine serum albumin-protected gold nanoclusters (BSA@Au NCs) can catalyze the oxidation of 3,3',5,5'-tetramethylbenzidine (TMB) to produce blue oxTMB for its peroxidase-like activity. The two absorption peaks of oxTMB overlapped with the excitation and emission peaks of BSA@Au NCs, respectively, causing efficient quenching on the fluorescence of BSA@Au NCs. The quenching mechanism can be attributed to the dual inner filter effect (IFE). Based on the dual IFE, BSA@Au NCs were utilized as both peroxidase mimics and fluorescent reporters for H<sub>2</sub>O<sub>2</sub> detection and further for uric acid detection with uricase. Under optimal detection conditions, the method can be used to detect H<sub>2</sub>O<sub>2</sub> ranging 0.50-50 μM with a detection limit of 0.44 μM and UA ranging 0.50-50 μM with a detection limit of 0.39 μM. The established method had been successfully utilized for the determination of UA in human urine, with massive potential in biomedical applications.",0
"Living probiotics secrete bioactive substances to accelerate wound healing, but the clinical application of antibiotics inhibits the survival of probiotics. Inspired by the chelation of tannic acid and ferric ions, we developed a metal-phenolic self-assembly shielded probiotic (<i>Lactobacillus reuteri</i>, <i>L. reuteri</i>@FeTA) to prevent interference from antibiotics. Here, a superimposing layer was formed on the surface of <i>L. reuteri</i> to adsorb and inactivate antibiotics. These shielded probiotics were loaded into an injectable hydrogel (Gel/L@FeTA) formed by carboxylated chitosan and oxidized hyaluronan. The Gel/L@FeTA aided the survival of probiotics and supported the continuous secretion of lactic acid to perform biological functions in an environment containing gentamicin. Furthermore, the Gel/L@FeTA hydrogels presented a better performance than the Gel/L in inflammatory regulation, angiogenesis, and tissue regeneration both <i>in vitro</i> and <i>in vivo</i> in the presence of antibiotics. Hence, a new method for designing probiotic-based biomaterials for clinical wound management is provided.",0
"In recent years, methicillin-resistant Staphylococcus aureus (MRSA) orbital cellulitis (OC) has drawn increasing clinical and public health concern. We present a case series of MRSA OC encountered at four Australian tertiary institutions.",1
This review highlights adverse effects of baclofen and tizanidine in older community-dwelling adults.,1
"In the aim to determine neurotoxicity, new methods are being validated, including tests and test batteries comprising in vitro and in vivo approaches. Alternative test models such as the zebrafish (Danio rerio) embryo have received increasing attention, with minor modifications of the fish embryo toxicity test (FET; OECD TG 236) as a tool to assess behavioral endpoints related to neurotoxicity during early developmental stages. The spontaneous tail movement assay, also known as coiling assay, assesses the development of random movement into complex behavioral patterns and has proven sensitive to acetylcholine esterase inhibitors at sublethal concentrations. The present study explored the sensitivity of the assay to neurotoxicants with other modes of action (MoAs). Here, five compounds with diverse MoAs were tested at sublethal concentrations: acrylamide, carbaryl, hexachlorophene, ibuprofen, and rotenone. While carbaryl, hexachlorophene, and rotenone consistently induced severe behavioral alterations by ~ 30 h post fertilization (hpf), acrylamide and ibuprofen expressed time- and/or concentration-dependent effects. At 37-38 hpf, additional observations revealed behavioral changes during dark phases with a strict concentration-dependency. The study documented the applicability of the coiling assay to MoA-dependent behavioral alterations at sublethal concentrations, underlining its potential as a component of a neurotoxicity test battery.",1
"Ventricular remodeling (VR) after acute ST-elevation myocardial infarction (STEMI) is an important predictor for medium- and long-term prognosis. This study focuses on the relevant indexes of VR in patients with AMI, in which, the intervention effects of sacubitril/valsartan and enalapril were compared, guiding the clinical treatment. 58 patients with acute STEMI treated with PCI were divided into research group and control group. UCG was performed at 1 week, 1 month and 3 months after MI, and the patients' indexes were collected to compare VR and adverse reactions in the two groups. The test results showed that there was no statistical difference in the baseline data of patients in the two groups, which were comparable. In the blood biochemical index examination, no statistical difference was found in cTnI and NT-proBNP between the two groups. At 1 week after operation, the levels of cTnI and NT-proBNP in research group were lower than those in the control group. In ECG examination, there was no statistical significance in the levels of LVEF, LVEDD and LVESD at admission between the two groups. After 1 week, the results of LVEF, LVEDD, LVESD in the research group were higher than those in the control group. The results of this study show that sacubitril/valsartan can be used in patients with AMI instead of enalapril. Sacubitril/valsartan improves cardiac function in patients with emergency percutaneous coronary intervention (PCI) for AMI, inhibits ventricular remodeling, and has a low incidence of adverse cardiac events and adverse drug reactions.",1
"Biopolymers with excellent biocompatibility and biodegradability show great potential for designing drug nanocarriers, while it's difficult to fabricate smart vehicles with multiple switching (size, surface, shape) based on biopolymers alone. Here, we report a dual size/charge-switchable and multi-responsive doxorubicin-loaded gelatin-based nanocluster (DOX-icluster) for improved tumor penetration and targeted anti-tumor therapy. The DOX-icluster was electrostatically assembled from folic acid and dimethylmaleic anhydride modified gelatin (FA-GelDMA) and small-sized DOX-loaded NH<sub>2</sub> modified hollow mesoporous organosilicon nanoparticles (DOX-HMON-NH<sub>2</sub>). DOX-icluster had an initial size of about 199 nm at neutral pH. After accumulation in tumor tissue, the DMA bond of FA-GelDMA was cleaved and gelatin was degraded by matrix metalloproteinase (MMP-2), thus 48 nm and positively charged DOX-HMON-NH<sub>2</sub> was released to facilitate penetration and cell internalization. DOX-HMON-NH<sub>2</sub> was further degraded by intracellular glutathione (GSH) with releasing 48.1 % of DOX. The cellular uptake results indicated that the fabricated icluster promoted the uptake of DOX by 4T1 cells. With enhanced penetration efficacy, the tumor spheroids volume treated with DOX-icluster was reduced to 15.1 % on day 7. This cytocompatible multi-responsive gelatin-based icluster with size-shrinking and charge-reversible characteristics may be used as a significant drug carrier for tumor therapy.",0
"Glioblastoma (GBM) is the most common central nervous system tumor and is associated with poor outcomes. There have been no significant improvements in GBM mortality in recent decades. ER-α36 is a variant of ER-α66 that may be involved in carcinoma growth and proliferation via genomic and nongenomic mechanisms. This variant might play an essential role in tamoxifen resistance of several tumors. Previously, our laboratory found that ER-α36 is expressed in GBM and participates in proliferation; nevertheless, the role of ER-α36 in GBM invasion remains unknown. This study aimed to determine the effects of the ER-α36 modulator SNG162 on GBM growth and invasion. U251 cells, U87cells, and U87-36KD cells with knockdown of ER-α36 expression were cultured under the two-dimensional and the three-dimensional (3D) environments. GBM cells growth was examined by cell counting, flow cytometry, western blot, and MTT assays. Invasiveness was measured using confocal microscopy in the 3D environment. Growth of U87 cells with downregulated EGFR and ER-α36 expression was significantly reduced after treatment with 1 µM, 3 µM, and 5 µM of SNG162; growth inhibition in U251 cells was more potent than in U87 cells, although the expression level of ER-α36 in U251 cells was lower than in U87 cells. We found that 1 μM SNG162 suppressed E<sub>2</sub>-induced MAPK/ERK pathway activation in U87 cells. We also showed that SNG162 inhibited U87 cells invasion; however, it did not significantly affect U251 and U87-36KD cells invasion using the 3D culture method. Finally, we determined that ER-α36 was expressed in the nucleus of invading GBM cells, and SNG162 significantly inhibited the expression of ER-α36 in these cells. SNG162 inhibited the expression of EGFR on cell membranes of non-invasive GBM cells. These results suggest that SNG162 could be a therapeutic agent for GBM by targeting ER-α36.",0
"<i>Sedum adenotrichum</i> (SA) has been traditionally used against various ailments due to the presence of several important phenolic compounds. This study provides a scientific basis for the hepatoprotective and nephroprotective potentials of <i>Sedum adenotrichum</i> in paracetamol-induced toxicity in rabbits. Methanolic extract of <i>Sedum adenotrichum</i> along with paracetamol was administered orally to rabbits alone or in combination with paracetamol for 2 weeks. Results showed that paracetamol-induced toxicity was correlated with a significant change in biochemical, hematological parameters, and loss in body weight of rabbits, and the curative effect of SA methanolic extract was found. Liver and kidney histological studies showed significant induced toxicity of paracetamol and correspondence restoration power of SA methanolic extract. The levels of reduced glutathione, radical scavenging activity, and lipid peroxidation in the liver were restored to normal by the methanolic extract of SA. This study confirmed the protective effect of SA methanolic extract against hepatotoxicity and nephrotoxicity caused by paracetamol. Biochemical analysis of the methanolic extract of SA confirmed the presence of bioactive phenolic compounds which have hepatic and nephroprotective potentials.",1
"Half the US population uses drugs with anticholinergic properties. Their potential harms may outweigh their benefits. Amitriptyline is among the most frequently prescribed anticholinergic medicinal products, is used for multiple indications, and rated as strongly anticholinergic. Our objective was to explore and quantify (anticholinergic) adverse drug reactions (ADRs) in patients taking amitriptyline vs. placebo in randomized controlled trials (RCTs) involving adults and healthy individuals.",1
"Green Liver Systems employ the ability of macrophytes to take up, detoxify (biotransform), and bioaccumulate pollutants; however, these systems require optimization to target specific pollutants. In the present study, the aim was to test the applicability of the Green Liver System for diclofenac remediation considering the effects of selected variables. As a starting point, 42 macrophyte life forms were evaluated for diclofenac uptake. With the three best performing macrophytes, the system efficiency was evaluated at two diclofenac concentrations, one environmentally relevant and that other significantly higher (10 µg/L and 150 µg/L) and in two system sizes (60 L and 1000 L) as well as at three flow rates (3, 7, and 15 L/min). The effect of single species and combinations on removal efficiency was also considered. The highest internalization percentage was recorded in Ceratophyllum spp., Myriophyllum spp., and Egeria densa. Phytoremediation efficiency with species combinations was far superior to utilizing only a single macrophyte type. Furthermore, the results indicate that the flow rate significantly affected the removal efficiency of the pharmaceutical tested, with the highest remediation efficiency obtained with the highest flow rate. System size did not significantly affect phytoremediation; however, increase diclofenac concentration reduced the systems performance significantly. When planning the setup of a Green Liver System for wastewater remediation, basic knowledge about the water, i.e., pollutant types and flow, must be utilized during planning to optimize remediation. Various macrophytes show diverse uptake efficiencies for different contaminants and should be selected based on the pollutant composition of the wastewater.",0
"A comparative in vitro study of the antioxidant potential of natural phenols (zingerone, curcumin, raspberry ketone, magnolol) and their synthesized derivatives was performed. The antioxidant efficiency was evaluated in blood serum obtained from healthy individuals, by means of spectrophotometry, before and after the addition of pro-oxidant <i>tert</i>-butyl hydroperoxide (TBH). Moreover, the antioxidant effect of an equimolar mixture of curcumin and zingerone was investigated. Interpretation of our results reveals that in the blood serum of healthy individuals curcumin (C1), raspberry ketone (RK1), magnolol (M1) and synthesized derivative of zingerone (Z2) demonstrate remarkable antioxidant effects (<i>p</i> < 0.05). However, in the state of TBH-induced excessive oxidative stress natural magnolol and synthesized derivatives C1, Z1 and RK1 show powerful antioxidant activity and thus can be further investigated to obtain information about their metabolic transformations and their potential influence at the cellular level. Results obtained from measurements in an equimolar mixture of zingerone and curcumin indicate synergism (<i>p</i> < 0.05) between the two compounds. This combination is especially successful due to the fast and efficient neutralization of added pro-oxidant TBH. The commercial availability of turmeric and ginger and their frequent combined use in diet suggest ideas for further broader utilization of the beneficial synergistic effect of their phenolic components.",0
"During the opioid epidemic, misuse of acetaminophen-opioid products resulted in supratherapeutic acetaminophen ingestions and cases of hepatotoxicity. In 2014, the US Food and Drug Administration (FDA) limited the amount of acetaminophen in combination products to 325 mg, and the US Drug Enforcement Administration (DEA) changed hydrocodone/acetaminophen from schedule III to schedule II. This study assessed whether these federal mandates were associated with changes in acetaminophen-opioid supratherapeutic ingestions.",1
"Antiphospholipid syndrome (APS) is an autoimmune prothrombotic disease characterized by thrombosis and/or pregnancy complications caused by antiphospholipid antibodies (aPL). The history of APS can be traced back to observations made during screening programs for syphilis conducted in the mid-20th century, with identification of patients with the so-called biological false-positive serological reactions for syphilis. Initial observation linking aPL with recurrent miscarriages was first reported more than 40 years ago. Since then, our understanding of the pathogenesis and management of APS has evolved markedly. Although APS is an autoimmune disease, anticoagulation mainly with vitamin K antagonists (VKAs) rather than immunomodulation, is the treatment of choice for thrombotic APS. Direct acting oral anticoagulants are inferior to VKAs, especially those with triple-positive APS and arterial thrombosis. Inflammation, complement activation, and thrombosis in the placenta may contribute to pathogenesis of obstetric APS. Heparin, mainly low-molecular-weight heparin, and low-dose aspirin represent the treatments of choice for women with obstetric complications. Increasingly, immunomodulatory agents such as hydroxychloroquine for thrombotic and obstetric APS are being used, especially in patients who are refractory to present standard treatment.",1
"Epithelial sodium channels (ENaCs) are critically engaged in a number of hallmarks of cancer progression, including proliferation, migration, invasion and apoptosis. Thus, the inhibition of ENaCs possesses therapeutic potential in cancer. Resveratrol, a natural polyphenol with anti-carcinogenic activity, is a potent activator of 5' AMP-activated protein kinase (AMPK) which reduces the abundance of ENaCs in the cell membrane by causing the internalization of the β subunit. However, the effect of resveratrol on ENaCs in cancer cells is unknown. Therefore, in this study, we aimed to investigate the effects of resveratrol on ENaCs in human colon cancer cells HCT116 and HT29. The influences of resveratrol either alone or together with AMPK inhibitor compound C (CC), and ENaC inhibitor amiloride on cell viability were examined by 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) assay. The expression levels of phospho-AMPK Thr<sup>172</sup> and βENaC in cells were determined by immunofluorescence staining, and the expression of apoptotic markers Caspase-3 and Caspase-9 were analyzed by qRT-PCR. Resveratrol was found to activate AMPK in a dose-dependent manner. Both AMPK activation by resveratrol and ENaC inhibition by amiloride decreased cell viability and increased apoptosis significantly. AMPK activation also reduced βENaC expression in cells. Our results suggest that ENaC inhibition through AMPK activation might be a potential mechanism underlying the anti-cancer effects of resveratrol.",0
"Studies assessing associations between prenatal exposure to antidepressants, maternal depression, and offspring DNA methylation (DNAm) have been inconsistent. Here, we investigated whether prenatal exposure to citalopram or escitalopram ((es)citalopram) and maternal depression is associated with differences in DNAm. Then, we examined if there is an interaction effect of (es)citalopram exposure and DNAm on offspring neurodevelopmental outcomes. Finally, we investigated whether DNAm at birth correlates with neurodevelopmental trajectories in childhood. We analyzed DNAm in cord blood from the Norwegian Mother, Father and Child Cohort Study (MoBa) biobank. MoBa contains questionnaire data on maternal (es)citalopram use and depression during pregnancy and information about child neurodevelopmental outcomes assessed by internationally recognized psychometric tests. In addition, we retrieved ADHD diagnoses from the Norwegian Patient Registry and information on pregnancies from the Medical Birth Registry of Norway. In total, 958 newborn cord blood samples were divided into three groups: (1) prenatal (es)citalopram exposed (n = 306), (2) prenatal maternal depression exposed (n = 308), and (3) propensity score-selected controls (n = 344). Among children exposed to (es)citalopram, there were more ADHD diagnoses and symptoms and delayed communication and psychomotor development. We did not identify differential DNAm associated with (es)citalopram or depression, nor any interaction effects on neurodevelopmental outcomes throughout childhood. Trajectory modeling identified subgroups of children following similar developmental patterns. Some of these subgroups were enriched for children exposed to maternal depression, and some subgroups were associated with differences in DNAm at birth. Interestingly, several of the differentially methylated genes are involved in neuronal processes and development. These results suggest DNAm as a potential predictive molecular marker of later abnormal neurodevelopmental outcomes, but we cannot conclude whether DNAm links prenatal (es)citalopram exposure or maternal depression with child neurodevelopmental outcomes.",1
"Antibacterial electrotherapy is currently activated by external electric field or self-powered generators, but usually needs complicated power management circuits. Herein, near-infrared illumination (NIR) of pyroelectric nanoparticles (NPs) produces a built-in electric field to address the effectiveness and safety concerns in the antibacterial treatment. Janus tBT@PDA NPs were obtained by capping polydopamine (PDA) on tetragonal BaTiO<sub>3</sub> (tBT) NPs through defining the polymerization time, followed by ciprofloxacin (CIP) loading on the PDA caps to fabricate Janus tBT@PDA-Cip NPs. NIR illumination of PDA caps creates temperature variations on tBT NPs to generate photothermal and pyroelectric effects. Finite element simulation reveals a pyroelectric potential of over 1 V and sufficient reactive oxygen species (ROS) are produced to exhibit pyroelectric dynamic therapy (PEDT). The elevated temperature on one side of the Janus NPs produces thermophoretic force to drive NP motion, which enhances interactions with bacteria and overcomes limitations in the short action distance and lifespan of ROS. The pyroelectric field accelerates CIP release through weakening the π-π stacking and electrostatic interaction with PDA and also interrupts membrane potentials of bacteria to enhance CIP invasion into bacteria. The synergistic antibacterial effect of pyroelectric tBT@PDA-Cip NPs causes the fully recovery of S. aureus-infected skin wounds and regeneration of intact epidermis, blood vessels and hair follicles, while no obvious pathological change or inflammatory lesion is detected in the major organs. Thus, the pyroelectric Janus nanomotors demonstrate synergistic PEDT/photothermal/antibiotic effects to enhance antibacterial efficacy while avoiding the necessity of excessive heat, ROS and antibiotic doses. STATEMENT OF SIGNIFICANCE: Antibacterial treatment is challenged by antibiotics-derived side effects and the evolution of resistant strains. Phototherapy is commonly associated with excessive heat and oxidative stress, and their combinations with other agents are especially encouraged to strengthen antibacterial efficacy while alleviating the associated side effects. Electric field is another activator to generate antibacterial abilities, but usually requires complicated power management and bulk electrodes, making it inconvenient in a biological setup. To address these challenges, we propose a strategy to generate microelectric field on nanoparticles themselves and achieve synergistic electrodynamic-photothermal-antibiotic therapies. The pyroelectric effect weakens interactions between nanoparticles and antibiotics to accelerate drug release, and the built-in pyroelectric field increases membrane fluidity to enhance bacterial uptake of antibiotics.",0
Guidelines recommend respiratory fluoroquinolone monotherapy or β-lactam plus macrolide combination therapy as first-line options for hospitalized adults with mild-to-moderate community-acquired pneumonia (CAP). Efficacy of these regimens has not been adequately evaluated.,1
"Real-world evidence (RWE) plays an important role in the management of type 2 diabetes (T2D). It provides data about the effectiveness and safety of an intervention from outside the randomised controlled trial (RCT) setting and allows healthcare professionals (HCPs) to determine if RCT data are applicable to their patients in routine clinical practice. This review provides a discussion of the value of RWE in T2D management in day-to-day clinical practice, with a focus on RWE with sulfonylureas (SUs), and presents two examples of a new generation of international real-world studies in people with T2D managed in routine clinical practice. RWE plays a valuable role in advising HCPs in the day-to-day management of T2D, informing regulatory authorities with regard to pharmacovigilance and post-approval updates, and providing insights with regard to patients' treatment adherence and preference. RWE should be used alongside RCTs to increase HCP awareness and understanding of their patients' perspectives, potentially allowing for improvements in treatment adherence, glycaemic control and health-related quality of life (HRQoL). In addition, real-world studies must be conducted in a way that generates robust RWE by limiting the risks of bias and confounding as much as possible. A growing body of RWE is emerging from Asia. For example, in a preliminary HRQoL analysis of the Joint Asia Diabetes Evaluation (JADE) Register, Asian people with T2D had better HRQoL with gliclazide-based treatment than with other SU agents, despite being older and having more diabetes-related complications.",1
"Substance abuse has become a worldwide health problem, leading to numerous consequences such as social problems among family members, abnormal behavior, adverse health effects, and psychological problems as well as economic consequences.",1
The aim of this study was to evaluate the current resistance situation concerning routinely used antibiotics for treatment in odontogenic abscesses.,1
"Cancer continues to be a leading cause of death worldwide, making the development of new treatment methods crucial in the fight against it. With cancer incidence rates increasing worldwide, ongoing research must focus on identifying new and effective ways to prevent and treat the disease. The combination of herbal extracts with chemotherapeutic agents has gained much interest as a novel strategy to combat cancer. Rumex obtusifolius L. is a wild plant known for its medicinal properties and is widely distributed worldwide. Our preclinical evaluations suggested that R. obtusifolius seed extracts possessed cancer-inhibiting properties and we also evaluated the beneficial effects of the arginase inhibitor NG-hydroxy-nor-L-arginine and nitric oxide inhibitor NG-nitro-L-arginine methyl ester in the treatment of breast cancer. The current study aimed to combine these observations and evaluate the antioxidant and antitumor properties of R. obtusifolius extracts alone and in combination with the arginase and nitric oxide synthase inhibitors. Metabolic characterization of the plant extract using a liquid chromatography/high-resolution mass spectrometry advanced system revealed the presence of 240 phenolic compounds many of which possess anticancer properties, according to the literature. In vitro studies revealed a significant cytotoxic effect of the R. obtusifolius extracts on the human colon (HT29) and breast cancer (MCF-7) cell lines. Thus, a new treatment approach of combining R. obtusifolius bioactive phytochemicals with the arginase and nitric oxide synthase inhibitors NG-nitro-L-arginine methyl ester and/or NG-hydroxy-nor-L-arginine, respectively, was proposed and could potentially be an effective way to treat breast cancer. Indeed, these combinations showed immunostimulatory, antiproliferative, antioxidant, anti-inflammatory, and antiangiogenic properties in a rat breast cancer model.",0
"The standard reference libraries and associated custom software provided by the National Institute of Standards and Technology's Mass Spectrometry Data Center (NIST MSDC) are described with a focus on assisting the seized drug analyst with the identification of fentanyl-related substances (FRS). These tools are particularly useful when encountering novel substances when no certified sample is available. The MSDC provides three standard reference mass spectral libraries, as well as six software packages for mass spectral analysis, reference library searching, data interpretation, and measurement uncertainty estimation. Each of these libraries and software packages are described with references to the original publications provided. Examples of fentanyl identification by gas chromatography-mass spectrometry (GC-MS) and by direct analysis in real-time (DART) mass spectrometry are given. A link to online tutorials is provided.",0
Diltiazem is a commonly used medication in patients with atrial fibrillation (AF) with potential for a drug-drug interaction (DDI) with direct oral anticoagulants (DOACs). We aimed to assess the risk of major bleeding after co-prescription of diltiazem and DOACs among adults with AF.,1
